idx,file,name,arms/core,num_arms,average_arms_width,max_arm_length,avg_arm_length,sum_arm_length,core_area,body_area,arms_area,core/arms,core_bounding_box,core_center,tile_row,tile_col,x,y,core_w,core_h,total_bodies_count
2,,2_3_2,3.137123745819398,11,4.874582656269204,393.84775960445404,62.51020534472032,687.6122587919235,598.0,2474.0,1876.0,0.3187633262260128,"[4063, 787, 26, 54]","[4076, 814]",2,3,3328,13312,26,54,1
3,,2_3_3,3.9096989966555182,5,5.823376167802723,340.80612897872925,131.7851933002472,658.925966501236,598.0,2936.0,2338.0,0.2557741659538067,"[3592, 709, 36, 33]","[3606, 727]",2,3,3328,13312,36,33,1
4,,2_3_4,1.9582577132486387,8,3.7814010101695277,324.8893895149231,64.3908721357584,515.1269770860672,551.0,1630.0,1079.0,0.5106580166821131,"[2963, 4042, 26, 36]","[2976, 4057]",2,3,3328,13312,26,36,1
5,,2_3_5,1.6473988439306357,9,3.8072436527425624,98.0121922492981,27.643770668241714,248.79393601417542,519.0,1374.0,855.0,0.6070175438596491,"[3280, 417, 42, 32]","[3302, 435]",2,3,3328,13312,42,32,1
6,,2_3_6,0.8188331627430911,2,2.7122417494872466,71.6690468788147,52.819804668426514,105.63960933685303,488.5,888.5,400.0,1.22125,"[2037, 3349, 32, 28]","[2053, 3361]",2,3,3328,13312,32,28,1
9,,2_3_9,3.1327231121281462,8,3.9034782253998306,378.61731231212616,71.25698886811733,570.0559109449387,437.0,1806.0,1369.0,0.31921110299488675,"[2362, 3103, 32, 28]","[2379, 3116]",2,3,3328,13312,32,28,1
10,,2_3_10,4.515826494724502,9,5.130145719190508,315.6639938354492,82.26137475172679,740.3523727655411,426.5,2352.5,1926.0,0.22144340602284526,"[3013, 607, 26, 35]","[3024, 626]",2,3,3328,13312,26,35,1
11,,2_3_11,0.8599033816425121,3,3.074111418957544,91.42640590667725,37.246704737345375,111.74011421203613,414.0,770.0,356.0,1.1629213483146068,"[2010, 3524, 23, 30]","[2021, 3537]",2,3,3328,13312,23,30,1
12,,2_3_12,4.534969325153374,8,3.715223583361181,442.0609630346298,94.10470694303513,752.837655544281,407.5,2255.5,1848.0,0.22050865800865802,"[3702, 1937, 39, 25]","[3724, 1949]",2,3,3328,13312,39,25,1
13,,2_3_13,2.1170610211706102,6,3.8855805976409092,139.78174436092377,63.61963617801666,381.7178170681,401.5,1251.5,850.0,0.4723529411764706,"[2547, 2027, 35, 28]","[2560, 2040]",2,3,3328,13312,35,28,1
15,,2_3_15,2.7319034852546915,8,3.123830531325155,206.5512957572937,57.67703755199909,461.41630041599274,373.0,1392.0,1019.0,0.366045142296369,"[2332, 3323, 37, 19]","[2346, 3332]",2,3,3328,13312,37,19,1
16,,2_3_16,2.027972027972028,7,3.2831640365889854,125.98275482654572,38.168387515204294,267.17871260643005,357.5,1082.5,725.0,0.49310344827586206,"[1876, 3943, 22, 31]","[1886, 3958]",2,3,3328,13312,22,31,1
17,,2_3_17,3.3380281690140845,8,3.5428541960850444,217.58073377609253,75.7229788005352,605.7838304042816,355.0,1540.0,1185.0,0.29957805907172996,"[3247, 3367, 27, 24]","[3259, 3379]",2,3,3328,13312,27,24,1
